UserID,ItemID,Rating
8927,49,4.5
9393,447,2.5
20891,752,2.5
9492,44,2.5
4119,1157,2.0
967,680,3.5
16525,297,4.5
13600,118,4.5
11383,35,4.5
6903,118,5.0
2005,1307,2.5
117,1945,3.5
9556,321,2.5
540,39,3.5
3096,692,3.5
2834,77,3.5
1486,78,4.0
25551,135,4.5
4912,222,3.5
13047,32,5.0
13775,82,5.0
13414,27,4.5
16397,198,4.5
6050,50,4.5
1833,341,2.5
12827,58,4.5
20778,169,3.0
7158,1190,3.5
1832,87,4.5
22116,31,5.0
7021,250,2.5
18533,1,4.0
3051,56,3.5
21478,1136,4.0
10329,486,3.0
12132,1522,4.0
11496,250,2.5
24306,68,3.0
3851,910,3.5
9961,109,3.5
12726,401,3.5
4293,501,2.5
255,658,3.0
4995,142,4.5
